RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg,color,index,slit_width,slit_size,slit_left,slit_right
92.013528,24.350927,06080324+2421033,13.011,0.021,12.937,0.025,12.988,0.029,AAA,222,111,000,0,0,0.022999763,182,7,3,92.01335710156249,92.0136988984375
92.018065,24.303143,06080433+2418113,14.365,0.024,13.936,0.035,13.814,0.035,AAA,222,111,000,0,0,0.55099964,41,7,3,92.0178941015625,92.01823589843751
92.018238,24.330637,06080437+2419502,13.458,0.021,13.071,0.026,13.004,0.025,AAA,222,111,000,0,0,0.45400047,121,7,3,92.0180671015625,92.0184088984375
92.022493,24.362848,06080539+2421462,12.637,0.02,12.524,0.023,12.479,0.022,AAA,222,111,000,0,0,0.15799999,217,7,3,92.0223221015625,92.0226638984375
92.024498,24.32449,06080587+2419281,14.794,0.027,14.529,0.04,14.468,0.062,AAA,222,111,000,0,0,0.32599926,102,7,3,92.02432710156249,92.0246688984375
92.029444,24.313881,06080706+2418499,13.574,0.024,13.17,0.027,13.113,0.03,AAA,222,111,000,0,0,0.46100044,79,7,3,92.0292731015625,92.0296148984375
92.033121,24.342388,06080794+2420325,14.762,0.032,14.572,0.047,14.469,0.055,AAA,222,111,000,0,0,0.29300022,158,7,3,92.03295010156249,92.0332918984375
92.037433,24.306082,06080898+2418218,14.28,0.037,13.987,0.047,13.923,0.049,AAA,222,222,ccc,0,0,0.3569994,49,7,3,92.03726210156249,92.0376038984375
92.041285,24.360126,06080990+2421364,13.447,0.025,13.048,0.023,12.95,0.025,AAA,222,111,000,0,0,0.49699974,213,7,3,92.0411141015625,92.0414558984375
92.041378,24.351801,06080993+2421064,13.259,0.024,12.662,0.024,12.555,0.024,AAA,222,111,000,0,0,0.7039995,186,7,3,92.04120710156249,92.0415488984375
92.041564,24.350155,06080997+2421005,12.712,0.025,12.204,0.027,12.065,0.025,AAA,222,111,000,0,0,0.6470003,180,7,3,92.04139310156249,92.0417348984375
92.043741,24.353998,06081049+2421143,12.969,0.023,12.775,0.023,12.691,0.025,AAA,222,111,000,0,0,0.27799988,195,7,3,92.0435701015625,92.0439118984375
92.04442,24.313202,06081066+2418475,12.869,0.021,12.218,0.022,12.09,0.021,AAA,222,111,000,0,0,0.7790003,78,7,3,92.0442491015625,92.0445908984375
92.04724,24.356091,06081133+2421219,14.279,0.026,14.088,0.039,13.849,0.039,AAA,222,111,000,0,0,0.4300003,201,7,3,92.0470691015625,92.0474108984375
92.050195,24.357412,06081204+2421266,14.004,0.024,13.698,0.031,13.485,0.034,AAA,222,111,000,0,0,0.51900005,203,7,3,92.0500241015625,92.0503658984375
92.051438,24.307775,06081234+2418279,13.539,0.023,13.279,0.028,13.227,0.028,AAA,222,111,000,0,0,0.31199932,56,7,3,92.0512671015625,92.05160889843751
92.052608,24.326635,06081262+2419358,14.23,0.026,13.749,0.033,13.618,0.033,AAA,222,111,000,0,0,0.6119995,106,7,3,92.0524371015625,92.05277889843751
92.053472,24.339981,06081283+2420239,14.724,0.036,14.364,0.042,14.278,0.059,AAA,222,111,000,0,0,0.4460001,149,7,3,92.0533011015625,92.0536428984375
92.053501,24.330229,06081284+2419488,14.681,0.03,14.021,0.033,13.874,0.04,AAA,222,111,000,0,0,0.80700016,117,7,3,92.0533301015625,92.0536718984375
92.055123,24.308491,06081322+2418305,14.944,0.046,14.723,0.063,14.574,0.067,AAA,222,111,000,0,0,0.3699999,58,7,3,92.05495210156249,92.0552938984375
92.060121,24.31214,06081442+2418437,14.194,0.029,13.878,0.039,13.702,,AAU,226,220,cc0,0,0,0.49200058,72,7,3,92.05995010156249,92.0602918984375
92.062862,24.336964,06081508+2420130,13.779,0.026,13.606,0.034,13.474,0.036,AAA,222,111,000,0,0,0.3050003,140,7,3,92.06269110156249,92.0630328984375
