index,RA,DEC,X_mos,Y_mos,mag130,dmag130,mag139,dmag139,color,dcolor,Delta130,Delta139,slit_width,slit_size,slit_left,slit_right
1675,83.710406,-5.393141,7765.190611,9763.042217,12.6161,0.0309946,12.5037,0.0072279,0.138373,0.0114013,0.0710001,0.0129805,7,3,83.7102351015625,83.71057689843751
1621,83.711599,-5.400844,7731.847255,9546.825408,12.6489,0.0437508,12.6094,0.0120794,0.0521454,0.0173517,0.128704,0.0296421,7,3,83.7114281015625,83.71176989843751
1687,83.716688,-5.405212,7589.614083,9424.212049,12.554,0.00136488,12.4933,0.0110557,0.0649042,0.0128654,0.00193024,0.022706,7,3,83.7165171015625,83.71685889843751
1688,83.721549,-5.400247,7453.789609,9563.586932,14.6724,0.0147476,15.0471,0.0146057,-0.374752,0.00602081,0.0406847,0.0405102,7,3,83.7213781015625,83.7217198984375
2018,83.724537,-5.372406,7370.34345,10345.0995,13.7335,0.00927086,13.8015,0.0227023,-0.0662205,0.0108325,0.0279999,0.0781898,7,3,83.7243661015625,83.7247078984375
2017,83.725468,-5.374045,7344.325636,10299.11073,13.5085,0.02541,13.5159,0.0123315,-0.0103448,0.016828,0.083004,0.0345602,7,3,83.7252971015625,83.72563889843751
2065,83.727311,-5.383873,7292.789739,10023.22414,14.8865,0.00211004,14.9123,0.00657665,-0.0309242,0.00284154,0.00298405,0.011446,7,3,83.7271401015625,83.7274818984375
2022,83.733155,-5.368557,7129.498333,10453.16071,14.3152,0.109227,14.3734,0.163622,-0.0748005,0.0609915,0.27199,0.429419,7,3,83.7329841015625,83.7333258984375
2021,83.733187,-5.368622,7128.59957,10451.34803,14.1939,0.0200786,14.2449,0.0174646,-0.0446577,0.00514978,0.0577202,0.0450611,7,3,83.7330161015625,83.7333578984375
2013,83.737209,-5.368404,7016.198041,10457.45976,13.0728,0.00739689,12.9643,0.0119386,0.0960509,0.0169551,0.0200539,0.0399055,7,3,83.73703810156249,83.7373798984375
2014,83.737537,-5.383339,7007.017429,10038.24959,13.0645,0.0118718,13.0228,0.0146054,0.0376302,0.00188722,0.0295801,0.0373144,7,3,83.7373661015625,83.7377078984375
2009,83.740774,-5.380877,6916.564431,10107.35214,12.3581,0.0113692,12.3092,0.0143942,0.0428543,0.00303732,0.0298758,0.0386257,7,3,83.7406031015625,83.7409448984375
2011,83.746619,-5.385512,6753.189948,9977.255641,12.7751,0.0152422,12.9322,0.0191401,-0.169411,0.00991028,0.0312204,0.0447197,7,3,83.74644810156249,83.7467898984375
1594,83.747096,-5.392305,6739.853324,9786.561323,13.8071,0.0492799,13.8112,0.0246385,-0.0311271,0.0322713,0.129291,0.0591106,7,3,83.7469251015625,83.7472668984375
1591,83.747113,-5.392456,6739.403723,9782.319944,13.2541,0.0162861,13.2741,0.0267312,-0.0313393,0.00829159,0.0380001,0.0710678,7,3,83.7469421015625,83.7472838984375
1540,83.748119,-5.400051,6711.271174,9569.14195,12.342,0.010588,12.2983,0.0264617,0.0425437,0.0262411,0.0254154,0.0742941,7,3,83.7479481015625,83.7482898984375
1596,83.750852,-5.402563,6634.88725,9498.62896,14.8182,0.0115082,14.6783,0.0155024,0.139903,0.0040037,0.0229998,0.0310001,7,3,83.75068110156249,83.7510228984375
1588,83.75403,-5.402951,6546.078728,9487.746412,12.209,0.00296837,12.102,0.0,0.105439,0.00150339,0.00593662,0.0,7,3,83.7538591015625,83.7542008984375
1592,83.754461,-5.384468,6534.057435,10006.576,13.424,0.0254428,13.4958,0.0217397,-0.0471301,0.0409431,0.0810003,0.0653505,7,3,83.7542901015625,83.75463189843751
