index,MainID,OtherID,RA,DEC,X_mos,Y_mos,mag130,dmag130,mag139, dmag139,color,dcolor,Delta130,Delta139,Nr_IR
0,0,44-1078,83.62638127,-5.457796715,10112.93708,7947.759999,9.79719,0.0200096,9.77856,0.20154,-0.0771351,0.115685,0.0610695,0.563724,3
1,1,26-47-65,83.60899771,-5.441776639,10598.80566,8397.328145,10.9083,0.0185066,10.6736,0.0265132,0.240065,0.0172287,0.0611172,0.0769806,4
2,2,48,83.6163478,-5.442952953,10393.40753,8364.360953,11.7239,0.0109769,11.5305,0.0177515,0.195181,0.00717064,0.0273504,0.0428772,2
3,3,122,83.63294382,-5.443574706,9929.648054,8347.017071,12.1459,0.0300123,12.1324,0.0124562,0.0306892,0.0207105,0.0713882,0.026536,2
4,4,50,83.61754036,-5.444362865,10360.07306,8324.792596,13.3779,0.0103522,13.4268,0.0228317,-0.0532584,0.018213,0.0280094,0.0634899,2
5,5,27-49-67,83.60019909,-5.440294899,10844.68505,8438.855152,13.6083,0.0131712,13.1289,0.00630562,0.483117,0.00306582,0.0382137,0.0181913,4
6,6,68-3209,83.62495811,-5.421466377,10152.94479,8967.553107,13.2284,0.0132644,13.3092,0.0140082,-0.0934917,0.0160946,0.0340614,0.0423231,3
7,7,69,83.62240094,-5.431073199,10224.33993,8697.870091,13.7699,0.00403174,13.8486,0.00431242,-0.0787315,0.00533006,0.00882912,0.0105276,2
8,8,128,83.642761,-5.443063945,9655.322571,8361.412655,16.3695,0.00180537,16.1528,0.010722,0.20598,0.0210364,0.00347519,0.0248451,2
9,9,54-1087,83.6191869,-5.461625347,10313.94369,7840.241328,17.994,0.0298316,18.462,0.0135199,-0.458947,0.0157417,0.0927563,0.0354309,3
10,10,3216-3222,83.62898611,-5.419634861,10040.39497,9018.990171,19.9822,0.318089,19.2613,0.0060152,0.459246,0.103591,0.736464,0.00850677,3
11,11,137-3217,83.63764521,-5.434568448,9798.327987,8599.853558,19.7007,0.197031,19.4956,0.0726639,0.236051,0.127822,0.477001,0.20203,3
12,12,59-1090,83.61855812,-5.465540166,10331.48658,7730.346992,19.8975,0.0718851,19.6124,0.118974,0.223676,0.0553353,0.168249,0.281,3
13,13,77-3219,83.62611475,-5.420471415,10120.62935,8995.489501,19.8696,0.0876691,20.0889,0.144924,-0.371724,0.419277,0.268259,0.429001,3
14,14,144,83.62780554,-5.453383687,10073.16727,8071.644044,20.7335,0.0602632,20.5574,0.0886062,0.0845028,0.125505,0.132723,0.248777,2
15,15,36-61-79,83.60578255,-5.436322409,10688.69088,8550.406339,20.3887,0.189304,20.0992,0.0806481,0.249412,0.213638,0.566,0.230999,4
16,16,60-1096,83.62154133,-5.450376034,10248.23031,8156.028506,20.182,0.127975,19.9954,0.0646429,0.190781,0.129484,0.295387,0.189554,3
17,17,40-83,83.59821968,-5.439802937,10900.00136,8452.649375,20.902,0.281359,20.4036,0.0810282,0.395778,0.510569,0.785786,0.237999,3
18,18,142,83.64248048,-5.442491287,9663.164527,8377.485701,20.4862,0.0030205,20.3842,0.0218852,0.0578942,0.0781799,0.00600052,0.0489998,2
19,19,-,83.6291751,-5.419818378,10035.11259,9013.839994,20.7717,0.0222589,20.4885,0.0906772,0.511661,0.424834,0.0314789,0.178501,1
20,20,41,83.60788774,-5.443519889,10629.80968,8348.386508,21.4506,0.317584,20.449,0.164592,0.745365,0.11022,0.784855,0.483999,2
21,21,82-3223,83.63005552,-5.423908526,10010.48331,8899.033967,20.9768,0.229365,20.415,0.0512997,0.64903,0.311517,0.544502,0.145,3
22,22,1102,83.61644154,-5.45256996,10390.7208,8094.40958,21.3462,0.281347,21.3341,0.0367322,0.0120697,0.265647,0.657642,0.0914211,2
23,23,-,83.62029753,-5.425101576,10283.159,8865.48115,22.1205,0.096873,20.9277,0.180184,1.288,0.199404,0.136999,0.35821,1
24,24,46,83.58125825,-5.453506001,11373.85338,8067.861338,10.6626,0.0945604,10.5339,0.0093284,0.10146,0.0743292,0.201239,0.0221453,2
25,25,45,83.58123064,-5.45336727,11374.6261,8071.755297,10.6797,0.0308939,10.5277,0.0850621,0.0639976,0.0138642,0.0549469,0.207,2
26,28,70,83.59446447,-5.428680026,11005.02651,8764.843434,16.7138,0.00103431,16.4939,0.0208662,0.228361,0.0123665,0.00200081,0.0581169,2
27,29,71,83.60213384,-5.425739143,10790.73209,8847.454429,18.4745,0.0559423,18.2082,0.043564,0.234465,0.0230509,0.143248,0.0910511,2
28,30,73,83.59528801,-5.420708098,10982.07656,8988.624517,19.1115,0.00768519,18.8624,0.0891352,0.2478,0.0646479,0.0173988,0.23633,2
29,31,-,83.58774085,-5.438089799,11192.83625,8500.653662,19.1612,0.0201293,18.9721,0.0205897,0.189663,0.00896076,0.0284672,0.0411396,1
30,32,56-76,83.60166417,-5.446440143,10803.69743,8266.367536,19.7038,0.0717951,19.0818,0.0289433,0.624784,0.0665448,0.192341,0.0809994,3
31,33,75,83.60324418,-5.431660702,10759.65901,8681.242849,19.4954,0.473104,19.372,0.204146,0.176464,0.210517,1.35848,0.512077,2
32,34,57-74,83.60151327,-5.440544507,10807.95949,8431.85865,19.5776,0.0821807,19.0525,0.0855991,0.543345,0.11528,0.193085,0.253651,3
33,35,-,83.57677926,-5.435427155,11499.17191,8575.301659,20.2163,0.0136691,19.5459,0.00443587,0.670471,0.00923319,0.019331,0.00627327,1
34,37,62,83.58591588,-5.45987973,11243.64943,7888.988235,20.3265,0.241163,20.1094,0.0348432,-0.0732693,0.361929,0.660707,0.0775719,2
35,38,81,83.60314917,-5.42510353,10762.36391,8865.303952,20.5316,0.27169,20.1063,0.130229,0.355248,0.354552,0.643999,0.323639,2
36,39,-,83.60552051,-5.430672896,10696.05571,8708.987892,21.0007,0.0556257,20.5243,0.0380574,0.576167,0.144138,0.0786667,0.073,1
37,42,-,83.59499633,-5.441635138,10990.05998,8401.193616,20.7235,0.0996459,20.6487,0.0208185,0.00860596,0.142857,0.140921,0.0294418,1
38,43,-,83.58411681,-5.433517415,11294.1458,8628.971739,22.3875,0.310421,21.4457,0.357414,0.936501,0.754484,0.439001,0.629543,1
39,51,1039-1040-1082,83.59987421,-5.4763055,10853.48308,7428.02447,13.8732,0.0366342,14.0238,0.038855,-0.153075,0.00249785,0.125285,0.117202,4
40,52,1083,83.60589346,-5.462652949,10685.39388,7811.301275,14.8996,0.017485,14.6482,0.019145,0.244598,0.0230243,0.0462532,0.043725,2
41,53,1042-1085,83.60588904,-5.464068377,10685.50686,7771.569775,17.3995,0.0491399,17.1347,0.00745938,0.242395,0.062435,0.117746,0.0185204,3
42,55,1043-1088,83.60227372,-5.461264995,10786.55062,7850.234251,18.7843,0.0245716,18.5199,0.0133921,0.235541,0.127153,0.04459,0.0380001,3
43,58,1093,83.61010646,-5.467674642,10567.63373,7670.371946,19.8251,0.0472451,19.615,0.0142447,0.210164,0.0471755,0.110909,0.031496,2
44,63,3111,83.61387185,-5.406170386,10462.85742,9396.841106,9.47681,0.0150224,9.68581,0.0381376,-0.205039,0.0376504,0.0365925,0.0932684,2
45,64,3112-3273-3356,83.60901311,-5.405244293,10598.64432,9422.802237,10.0806,0.0207877,10.0264,0.104301,0.0387624,0.107863,0.0569897,0.294035,4
46,66,3114-3208,83.61881847,-5.416050568,10324.55332,9119.535552,11.0652,0.00781048,10.9107,0.0352035,0.122496,0.0381885,0.0186625,0.103269,3
47,72,-,83.60303715,-5.417467325,10765.55259,9079.653758,18.6815,0.0120668,18.3537,0.00925181,0.333129,0.0129111,0.017065,0.0165882,1
48,78,-,83.62195132,-5.411302964,10237.03764,9252.823268,19.9471,0.140759,20.4503,0.0499005,-0.438711,0.0711196,0.279148,0.07057,1
49,80,-,83.60201497,-5.415524455,10794.13237,9134.183019,20.2699,0.0397435,20.0729,0.0510186,0.202983,0.348005,0.0562057,0.0721512,1
50,84,121-158-189,83.6661634,-5.444972952,9001.363411,8307.94765,10.1094,0.0147232,10.0749,0.0710561,0.0306142,0.0656803,0.0470829,0.204515,4
51,85,123-159,83.66477469,-5.454790058,9040.122491,8032.3728,12.7277,0.00399403,12.4078,0.0131056,0.32956,0.00753459,0.00999451,0.0346403,3
52,86,193-3073,83.68502826,-5.435024388,8474.249423,8587.285264,12.8606,0.0142874,13.0513,0.0188883,-0.193241,0.0258926,0.036871,0.0596037,3
53,87,-,83.6737609,-5.44802852,8789.048754,8222.211108,12.5787,0.0186275,12.5079,0.0200318,0.0708472,0.00310446,0.036808,0.040061,1
54,88,191,83.67005769,-5.444061878,8892.547236,8333.539401,12.6616,0.0534426,12.534,0.0352932,0.127635,0.0192215,0.123031,0.0887012,2
55,89,1178,83.67010811,-5.469291606,8891.024583,7625.335691,12.4762,0.0104976,12.5929,0.00715013,-0.102797,0.0241891,0.0148458,0.0101118,2
56,90,161,83.67014977,-5.469266912,8889.860611,7626.029057,12.6109,0.175439,12.6862,0.16829,-0.075304,0.010066,0.325577,0.319991,2
57,91,127-162,83.66206207,-5.456958874,9115.910967,7971.480673,15.1123,0.0151102,14.7787,0.021906,0.334055,0.011516,0.048357,0.0601349,3
58,92,267,83.69012583,-5.448695555,8331.753971,8203.551335,15.8906,0.0158843,15.8742,0.00122075,0.0236487,0.0143737,0.0414515,0.00212669,2
59,93,-,83.68683273,-5.439411957,8423.808916,8464.131987,16.1581,0.00408521,16.5428,0.0182418,-0.386333,0.00911858,0.00577736,0.0427246,1
60,94,129-163-197,83.66941679,-5.447931316,8910.438699,8224.920579,16.503,0.00950499,16.8549,0.0178928,-0.340963,0.0228788,0.0284138,0.0536404,4
61,95,272,83.699945,-5.451378779,8057.364881,8128.265192,17.4379,0.0158298,17.2511,0.000955886,0.18577,0.0185449,0.0359993,0.00190926,2
62,96,168-274-1187,83.67578526,-5.455772618,8732.448342,8004.841206,18.3206,0.0185384,18.0542,0.028182,0.261563,0.0376346,0.0491257,0.0759602,4
63,97,165-1183,83.67325622,-5.460279825,8803.097803,7878.312167,17.7453,0.0320582,17.4854,0.0123284,0.274128,0.0503765,0.0936642,0.0321693,3
64,98,202-210,83.68223751,-5.440487752,8552.212759,8433.916787,17.7968,0.0361129,17.5063,0.017855,0.272242,0.0216512,0.0810013,0.0429611,3
65,99,-,83.67704146,-5.451772028,8697.362957,8117.143869,17.8535,0.00932221,17.6881,0.00149571,0.150545,0.0102501,0.0131836,0.00211525,1
66,100,167-1186,83.67153608,-5.459083964,8851.168865,7911.872735,18.1551,0.0118886,17.8969,0.0136203,0.258871,0.00898824,0.0319061,0.035553,3
67,101,275,83.69807545,-5.455091853,8109.594336,8024.032625,18.2131,0.108047,18.0712,0.00927954,0.129457,0.0745586,0.300194,0.0182476,2
